Depth,Cone Resistance,Side Friction,P-wave Velocity
26.900000000000002,6.01,321.4,1.71599428
27.000000000000004,9.38,306.5,1.72655976
27.1,11.3,229.6,1.73712524
27.200000000000003,11.73,229.6,1.74769072
27.300000000000004,6.09,290.7,1.75825621
27.400000000000002,3.04,174.2,1.76613492
27.500000000000004,2.73,102.0,1.77288895
27.6,4.77,184.0,1.77964297
27.700000000000003,2.45,100.2,1.78639699
27.800000000000004,2.38,98.7,1.79315101
27.900000000000002,2.32,95.3,1.79800889
28.000000000000004,2.29,94.1,1.80224847
28.1,2.25,91.6,1.80648804
28.200000000000003,2.22,90.4,1.81072761
28.300000000000004,2.19,88.3,1.81496719
28.400000000000002,2.16,86.8,1.82016112
28.500000000000004,2.13,85.2,1.82558877
28.6,2.1,83.9,1.83101642
28.700000000000003,2.07,82.6,1.83644408
28.800000000000004,2.04,81.4,1.84187173
28.900000000000002,2.02,80.1,1.84672999
29.000000000000004,1.99,78.8,1.8514897
29.1,1.97,77.6,1.8562494
29.200000000000003,1.95,76.3,1.86100911
29.300000000000004,1.92,75.1,1.86576882
29.400000000000002,1.9,73.9,1.86454644
29.500000000000004,1.88,72.6,1.86267146
29.6,1.86,71.5,1.86079648
29.700000000000003,1.84,70.3,1.85892151
29.800000000000004,1.82,69.1,1.85704653
29.900000000000002,1.8,67.9,1.86438315
30.000000000000004,1.78,66.7,1.87219622
30.1,1.76,65.5,1.8800093
30.200000000000003,1.74,64.3,1.88782237
30.300000000000004,1.72,63.1,1.89563545
0.1,0.13,12.9,0.55468715
0.2,0.15,13.0,0.57445318
0.30000000000000004,0.15,13.8,0.59421921
0.4,0.14,34.9,0.61398523
0.5,0.52,37.9,0.63375126
0.6,0.47,36.5,0.6536714
0.7000000000000001,0.48,41.8,0.67657109
0.8,0.5,57.9,0.69947078
0.9,0.6,62.3,0.72237046
1.0,0.81,66.3,0.74527015
1.1,0.92,70.1,0.76911005
1.2000000000000002,1.08,73.7,0.80156854
1.3000000000000003,1.14,72.5,0.83402703
1.4000000000000001,1.26,73.4,0.86648552
1.5000000000000002,1.19,73.1,0.89894401
1.6,1.07,74.2,0.93208618
1.7000000000000002,1.01,70.8,0.96917853
1.8000000000000003,0.89,66.5,1.00627088
1.9000000000000001,0.87,63.7,1.04336323
2.0,0.93,62.4,1.08045558
2.1,0.89,66.3,1.12083069
2.2,0.85,60.2,1.17461045
2.3000000000000003,1.06,62.0,1.2283902
2.4000000000000004,1.24,76.7,1.28216996
2.5000000000000004,1.23,90.0,1.33594971
2.6,1.22,88.2,1.38467065
2.7,1.14,91.0,1.41787786
2.8000000000000003,1.07,89.9,1.45108507
2.9000000000000004,1.19,91.9,1.48429228
3.0000000000000004,1.28,92.7,1.51749949
3.1,1.33,93.3,1.54634605
3.2,1.24,106.3,1.5647755
3.3000000000000003,0.7,97.1,1.58320495
3.4000000000000004,1.21,94.0,1.6016344
3.5000000000000004,1.19,97.8,1.62006385
3.6,1.02,80.3,1.63184082
3.7,1.04,73.7,1.6309464
3.8000000000000003,1.14,95.7,1.63005198
3.9000000000000004,0.88,98.4,1.62915756
4.0,1.04,93.1,1.62826315
4.1,1.0,90.3,1.62678717
4.2,1.08,88.3,1.62441463
4.3,1.07,94.4,1.62204209
4.3999999999999995,1.23,114.5,1.61966954
4.5,1.29,118.1,1.617297
4.6,1.11,101.5,1.61410335
4.7,1.3,97.7,1.60987572
4.8,1.62,112.6,1.60564809
4.9,1.91,0.0,1.60142046
5.0,0.25,121.4,1.59719283
5.1,0.34,140.8,1.60023914
5.2,1.23,126.9,1.61080187
5.3,1.27,120.6,1.6213646
5.4,1.17,126.3,1.63192733
5.5,1.22,127.8,1.64249005
5.6,1.39,130.5,1.65847184
5.7,1.3,128.3,1.67905163
5.8,1.4,121.3,1.69963141
5.9,1.46,110.2,1.72021119
6.0,1.94,122.4,1.74079097
6.1,1.87,147.1,1.75507381
6.2,1.73,152.1,1.76498377
6.3,1.53,139.0,1.77489373
6.4,1.24,127.1,1.78480369
6.5,1.38,116.0,1.79471365
6.6,1.33,117.2,1.80012861
6.7,1.35,53.3,1.80300793
6.8,0.2,116.0,1.80588724
6.9,1.12,115.8,1.80876656
7.0,1.2,113.4,1.81164588
7.1,1.19,101.9,1.80417892
7.2,1.23,107.6,1.79203149
7.3,1.1,118.2,1.77988406
7.4,1.01,109.3,1.76773663
7.5,1.03,101.5,1.7555892
7.6,1.12,114.0,1.7423104
7.7,1.23,125.1,1.72862932
7.8,1.19,117.8,1.71494825
7.9,1.09,116.5,1.70126718
8.0,1.07,104.0,1.68758611
8.1,1.31,116.7,1.67941998
8.2,1.24,118.4,1.67274748
8.3,1.14,113.6,1.66607499
8.4,1.04,105.2,1.65940249
8.5,0.98,97.7,1.65272999
8.6,0.82,89.1,1.66173423
8.7,0.79,76.9,1.67381234
8.8,0.74,71.0,1.68589046
8.9,0.7,62.1,1.69796857
9.0,0.72,61.3,1.71004668
9.1,0.78,67.5,1.72357926
9.2,0.85,80.0,1.73730038
9.3,0.93,93.6,1.7510215
